epoch,n_mAP,n_mAP95,s_mAP,s_mAP95,m_mAP,m_mAP95,l_mAP,l_mAP95,x_mAP,x_mAP95
202,0.96828,0.76802,0.95849,0.79371,0.96388,0.8397,0.94422,0.8262,0.96474,0.86902
203,0.96919,0.76638,0.95631,0.79327,0.96749,0.8417,0.94175,0.82785,0.96048,0.86272
204,0.95989,0.75753,0.95398,0.79273,0.96417,0.84215,0.94015,0.83271,0.96132,0.86016
205,0.9621,0.76333,0.9525,0.78994,0.96124,0.83868,0.94331,0.83027,0.96474,0.86126
206,0.9619,0.75378,0.94662,0.79338,0.95861,0.83812,0.94335,0.82612,0.96907,0.86636
207,0.96605,0.75465,0.95149,0.79482,0.96082,0.84118,0.94414,0.83126,0.96293,0.85996
208,0.9663,0.77058,0.95401,0.7938,0.95903,0.84116,0.94491,0.83245,0.96763,0.86302
209,0.96528,0.76736,0.95604,0.79108,0.96479,0.83889,0.94768,0.82857,0.96702,0.86685
210,0.96705,0.77213,0.95577,0.79512,0.95948,0.83945,0.95049,0.82979,0.9628,0.86017
211,0.96511,0.77012,0.95542,0.79486,0.96189,0.84326,0.95603,0.8419,0.96314,0.86697
212,0.96873,0.77589,0.96151,0.7933,0.95962,0.84147,0.94848,0.84545,0.96042,0.86486
213,0.96685,0.77288,0.95648,0.7928,0.96204,0.84319,0.94535,0.8385,0.96218,0.85914
214,0.96512,0.77097,0.95652,0.79649,0.96589,0.84174,0.94818,0.84589,0.96679,0.86409
215,0.96804,0.76785,0.95053,0.79181,0.96509,0.83735,0.95216,0.84147,0.96784,0.86095
216,0.96741,0.76884,0.95372,0.78963,0.96695,0.84048,0.9498,0.83703,0.96003,0.85832
217,0.96595,0.76868,0.95356,0.79656,0.96615,0.84455,0.94828,0.84192,0.96285,0.85829
218,0.97029,0.7656,0.95851,0.80323,0.96389,0.84181,0.94834,0.83924,0.9642,0.8586
219,0.97162,0.76259,0.96032,0.80652,0.96882,0.84916,0.94707,0.83277,0.96716,0.86268
220,0.96957,0.76878,0.96241,0.80924,0.96519,0.8438,0.94539,0.83332,0.96837,0.86434
221,0.97355,0.77723,0.96358,0.80217,0.95984,0.83153,0.94701,0.8422,0.96268,0.85787
222,0.96894,0.77342,0.96645,0.80602,0.95599,0.83367,0.94953,0.84541,0.96256,0.85705
223,0.96309,0.77289,0.96379,0.80517,0.95693,0.84141,0.94775,0.84614,0.96694,0.86507
224,0.96543,0.77369,0.96267,0.8017,0.95996,0.84055,0.94991,0.84789,0.96186,0.8599
225,0.96543,0.77224,0.9645,0.80203,0.96301,0.84261,0.95428,0.84811,0.96086,0.85801
226,0.96841,0.77308,0.9592,0.8052,0.96051,0.84141,0.95136,0.85022,0.95915,0.85274
227,0.96646,0.76773,0.96171,0.80101,0.9567,0.83664,0.94973,0.84312,0.96262,0.86945
228,0.96944,0.77556,0.9616,0.79964,0.96307,0.83498,0.94901,0.84293,0.97116,0.871
229,0.97342,0.76546,0.96169,0.80232,0.95816,0.84018,0.95497,0.84741,0.971,0.86802
230,0.96686,0.76468,0.9594,0.80078,0.9582,0.84016,0.94817,0.84008,0.96408,0.86843
231,0.96506,0.76524,0.95892,0.79656,0.96117,0.84703,0.95262,0.84351,0.9621,0.86469
232,0.96706,0.76817,0.95825,0.79162,0.96289,0.84169,0.94962,0.83873,0.96176,0.86996
233,0.96332,0.77194,0.9545,0.79056,0.96139,0.84743,0.94711,0.83469,0.96063,0.86511
234,0.96157,0.76539,0.95869,0.79927,0.95901,0.84697,0.94972,0.83215,0.96271,0.86455
235,0.96925,0.77857,0.95203,0.79324,0.95775,0.84283,0.94874,0.83799,0.96399,0.86678
236,0.96735,0.77082,0.95095,0.7919,0.96199,0.84294,0.94779,0.83546,0.96642,0.86818
237,0.96115,0.76108,0.95449,0.80554,0.95616,0.84185,0.94203,0.83678,0.96769,0.87761
238,0.96465,0.7661,0.96011,0.80135,0.95833,0.83563,0.94854,0.83765,0.96299,0.86551
239,0.96427,0.76822,0.95831,0.80086,0.95535,0.83784,0.94148,0.84305,0.9661,0.87069
240,0.96458,0.76885,0.95487,0.80313,0.9544,0.84057,0.94238,0.84976,0.95643,0.86554
241,0.9631,0.77044,0.95751,0.7995,0.95149,0.83806,0.94205,0.84693,0.95689,0.86315
242,0.9555,0.76419,0.95522,0.79951,0.95609,0.83925,0.93668,0.83831,0.95606,0.86266
243,0.95475,0.76352,0.9609,0.80062,0.96087,0.84313,0.94242,0.84421,0.95858,0.8612
244,0.96137,0.76631,0.96223,0.79737,0.95909,0.8363,0.94437,0.84575,0.96101,0.86336
245,0.95551,0.76327,0.95801,0.79387,0.95472,0.84311,0.94584,0.84962,0.96407,0.86086
246,0.96198,0.76777,0.9604,0.80592,0.95485,0.83697,0.94346,0.8443,0.96181,0.86113
247,0.96154,0.76334,0.95843,0.79895,0.95719,0.8474,0.94179,0.84239,0.96484,0.86275
248,0.96323,0.77342,0.95911,0.80526,0.95679,0.83979,0.94544,0.84144,0.96207,0.85838
249,0.96224,0.7706,0.96056,0.80608,0.95675,0.83451,0.94584,0.84119,0.96608,0.86679
250,0.96612,0.77263,0.95786,0.80338,0.95986,0.838,0.94996,0.84931,0.96294,0.85735
251,0.96419,0.77053,0.95841,0.80167,0.95975,0.84385,0.95027,0.84656,0.96474,0.85317
252,0.96677,0.76281,0.96311,0.80608,0.95709,0.8364,0.94616,0.84707,0.96471,0.85098
253,0.9678,0.77252,0.96346,0.8103,0.96202,0.84096,0.94705,0.85419,0.95998,0.86112
254,0.96722,0.76542,0.96181,0.8032,0.95853,0.83814,0.94505,0.85141,0.95911,0.86399
255,0.96333,0.76352,0.96059,0.80172,0.9586,0.8434,0.94434,0.84527,0.96357,0.86363
256,0.96312,0.76826,0.95842,0.79842,0.95945,0.84627,0.94621,0.84452,0.96186,0.85953
257,0.96425,0.77455,0.96039,0.79835,0.96425,0.85064,0.94795,0.84953,0.96512,0.86451
258,0.968,0.7808,0.95753,0.79829,0.96157,0.84755,0.94896,0.84706,0.96428,0.86659
259,0.96641,0.78115,0.96195,0.79754,0.96343,0.85036,0.94937,0.84492,0.9606,0.86591
