epoch,n_box,n_dfl,s_box,s_dfl,m_box,m_dfl,l_box,l_dfl,x_box,x_dfl
141,0.81644,0.95949,0.62596,0.89894,0.52447,0.88237,0.45891,0.8747,0.4346,0.86377
142,0.81721,0.96397,0.63807,0.90401,0.51908,0.87335,0.45439,0.86526,0.42867,0.85557
143,0.81291,0.95797,0.63514,0.89833,0.51486,0.87782,0.44992,0.86935,0.42505,0.86379
144,0.81892,0.95444,0.63462,0.89802,0.50344,0.87684,0.44548,0.86687,0.42123,0.85949
145,0.81173,0.95829,0.63717,0.90377,0.51066,0.8768,0.44674,0.86798,0.42298,0.86347
146,0.82041,0.96526,0.63517,0.90534,0.50699,0.8739,0.43957,0.8658,0.41328,0.85847
147,0.81139,0.95423,0.64409,0.90139,0.5137,0.87772,0.45338,0.86592,0.42026,0.85848
148,0.78784,0.94625,0.60573,0.89113,0.51391,0.87606,0.44996,0.86792,0.42568,0.8626
149,0.81778,0.96131,0.63162,0.89938,0.4993,0.87173,0.44746,0.86681,0.41703,0.85933
150,0.79761,0.95378,0.61919,0.89611,0.51454,0.87911,0.45007,0.86752,0.42036,0.85893
151,0.81297,0.96027,0.62706,0.90058,0.49887,0.87131,0.44106,0.86043,0.41906,0.85956
152,0.79858,0.96444,0.62395,0.90527,0.49642,0.87075,0.43376,0.86129,0.40677,0.85504
153,0.80548,0.95637,0.62934,0.89891,0.49723,0.87146,0.43563,0.86155,0.40416,0.85083
154,0.81393,0.96623,0.62048,0.90142,0.4978,0.87092,0.44172,0.86566,0.41155,0.8583
155,0.79381,0.9554,0.6162,0.89845,0.50281,0.87993,0.44491,0.87206,0.41383,0.86291
156,0.79006,0.95033,0.60908,0.89139,0.48615,0.86713,0.4335,0.86404,0.4051,0.85664
157,0.79916,0.95576,0.61741,0.89716,0.50009,0.87583,0.43679,0.86779,0.41012,0.86154
158,0.79014,0.95379,0.60926,0.89276,0.48971,0.86976,0.43623,0.86384,0.40737,0.85838
159,0.7927,0.94998,0.61653,0.89256,0.4837,0.86694,0.43108,0.86348,0.40431,0.85662
160,0.79633,0.95079,0.61228,0.89285,0.49261,0.87131,0.43385,0.86782,0.40973,0.85802
161,0.78965,0.95416,0.60563,0.89632,0.49143,0.87073,0.42857,0.8658,0.39816,0.85419
162,0.79309,0.95402,0.61577,0.89553,0.48875,0.87143,0.43182,0.86973,0.40063,0.85794
163,0.79981,0.94868,0.62256,0.8914,0.48626,0.86978,0.42622,0.86753,0.39742,0.85529
